"inspection_id","establishment_name","address","inspection_date.x","establishment_type.y","region","risk_category","inspection_date.y","inspection_time_in","inspector_badge_number","inspector_comments","year.y","lat","long","riskLvl","popInfo"
202775,"the gwu inn/ notti bianche","824 new hampshire","2014-04-01","restaurant total","nw",3,"2014-04-01","01:30 PM",124,"cfpm sarah a conigliaro fs 8789 exp. 06/02/2014. a 5-day notice was given. if you have any questions, please contact the area supervisor, mrs. coleman at (202) 442-5928.",2014,38.899895,-77.052743,"Risk Cat 3","<b> Establishment Name:   </b> the gwu inn/ notti bianche <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 824 new hampshire nw <br> <b>Inspection Date:   </b> 2014-04-01 <br> <b>Inspection Time:   </b> 01:30 PM <br> <b>Inspector Badge No.:   </b> 124 <br> <br> <b>Inspector Comment:   </b> cfpm sarah a conigliaro fs 8789 exp. 06/02/2014. a 5-day notice was given. if you have any questions, please contact the area supervisor, mrs. coleman at (202) 442-5928."
180590,"mesobe restaurant and deli market","1853 7th","2013-05-07","restaurant total","nw",3,"2013-05-07","12:08 PM",650,"note:  the establishment did not open for business during the inspection. most recent pest control service invoice provided:  3/13/2013 correct items stated within 5 days correct items stated within 45 days if you have any questions, please call area supervisor, mrs. jacqueline coleman, at 202-442-5928.",2013,38.914876,-77.021842,"Risk Cat 3","<b> Establishment Name:   </b> mesobe restaurant and deli market <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 1853 7th nw <br> <b>Inspection Date:   </b> 2013-05-07 <br> <b>Inspection Time:   </b> 12:08 PM <br> <b>Inspector Badge No.:   </b> 650 <br> <br> <b>Inspector Comment:   </b> note:  the establishment did not open for business during the inspection. most recent pest control service invoice provided:  3/13/2013 correct items stated within 5 days correct items stated within 45 days if you have any questions, please call area supervisor, mrs. jacqueline coleman, at 202-442-5928."
198641,"johnny rockets","50 massachusetts","2013-09-09","restaurant total","ne",3,"2013-09-09","02:35 PM",422,"correct items stated within 5 days correct items stated within 45 days if you have any questions, please call area  supervisor,  ms. jacqueline coleman  at (202)442-5928",2013,38.89732,-77.008425,"Risk Cat 3","<b> Establishment Name:   </b> johnny rockets <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 50 massachusetts ne <br> <b>Inspection Date:   </b> 2013-09-09 <br> <b>Inspection Time:   </b> 02:35 PM <br> <b>Inspector Badge No.:   </b> 422 <br> <br> <b>Inspector Comment:   </b> correct items stated within 5 days correct items stated within 45 days if you have any questions, please call area  supervisor,  ms. jacqueline coleman  at (202)442-5928"
812462,"sushi express","1990 m","2015-08-06","delicatessen","nw",3,"2015-08-06","10:45 AM",54,"the dc cfm is yoshifumi yasuoka: fs53330 will expire 9/03/2015. correct items within 5 and 14 days as stated.",2015,38.905582,-77.044641,"Risk Cat 3","<b> Establishment Name:   </b> sushi express <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 1990 m nw <br> <b>Inspection Date:   </b> 2015-08-06 <br> <b>Inspection Time:   </b> 10:45 AM <br> <b>Inspector Badge No.:   </b> 54 <br> <br> <b>Inspector Comment:   </b> the dc cfm is yoshifumi yasuoka: fs53330 will expire 9/03/2015. correct items within 5 and 14 days as stated."
824564,"bluejacket (the arsenal)","300 tingey","2016-05-11","restaurant total","se",3,"2016-05-11","11:45 AM",607,"3 day notices 504.1, 1813.2, 1005.1, 1010.1, 1809.2 abated from inspection conducted 5/4/2016. 14 day notices 4103.1, 1524.2, 812.2 abated from inspection conducted 5/4/2016. correct item stated within 14 calendar days. please submit all questions/inquiries to area supervisor ms. coleman at food.safety@dc.gov for efficient response.",2016,38.875895,-76.99466,"Risk Cat 3","<b> Establishment Name:   </b> bluejacket (the arsenal) <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 300 tingey se <br> <b>Inspection Date:   </b> 2016-05-11 <br> <b>Inspection Time:   </b> 11:45 AM <br> <b>Inspector Badge No.:   </b> 607 <br> <br> <b>Inspector Comment:   </b> 3 day notices 504.1, 1813.2, 1005.1, 1010.1, 1809.2 abated from inspection conducted 5/4/2016. 14 day notices 4103.1, 1524.2, 812.2 abated from inspection conducted 5/4/2016. correct item stated within 14 calendar days. please submit all questions/inquiries to area supervisor ms. coleman at food.safety@dc.gov for efficient response."
105119,"panera bread","1350 connecticut","2013-05-13","restaurant total","nw",3,"2013-05-13","02:15 PM",54,"notice abated from the inspection conducted on 5/09/2013. if you have any questions please contact the area supervisor mr. ronnie taylor at 202-442-9037.",2013,38.908175,-77.042623,"Risk Cat 3","<b> Establishment Name:   </b> panera bread <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 1350 connecticut nw <br> <b>Inspection Date:   </b> 2013-05-13 <br> <b>Inspection Time:   </b> 02:15 PM <br> <b>Inspector Badge No.:   </b> 54 <br> <br> <b>Inspector Comment:   </b> notice abated from the inspection conducted on 5/09/2013. if you have any questions please contact the area supervisor mr. ronnie taylor at 202-442-9037."
836131,"jersey mike's subs","2300 washington","2017-03-09","restaurant total","ne",3,"2017-03-09","01:12 PM",88,"items number(15,23,33,41,48,and 51)have been abated. item(2 expired cfpm licience)is a repeated violation. however,management has provided invoices that show that he and some his staff has enrolled and scheduled to take the serve safe exam for re-certification and has been granted a 3 day extension. correct item stated with in 3 days.if you have any question please contact are supervisor at food.safety@dc.gov",2017,38.901986,-77.05012,"Risk Cat 3","<b> Establishment Name:   </b> jersey mike's subs <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 2300 washington ne <br> <b>Inspection Date:   </b> 2017-03-09 <br> <b>Inspection Time:   </b> 01:12 PM <br> <b>Inspector Badge No.:   </b> 88 <br> <br> <b>Inspector Comment:   </b> items number(15,23,33,41,48,and 51)have been abated. item(2 expired cfpm licience)is a repeated violation. however,management has provided invoices that show that he and some his staff has enrolled and scheduled to take the serve safe exam for re-certification and has been granted a 3 day extension. correct item stated with in 3 days.if you have any question please contact are supervisor at food.safety@dc.gov"
200463,"newseum cafe","555 pennsylvania","2013-12-11","restaurant total","nw",3,"2013-12-11","10:15 AM",603,"correct items stated within 45-days as listed withihn observations. all other items corrected while on-site. cfpm: pascuala morales (54512) exp. 1/31/15 if you have any questions, please contact area supervisor mrs. jacqueline coleman at (202)442-5928 (main: 202-535-2180).",2013,38.892748,-77.019355,"Risk Cat 3","<b> Establishment Name:   </b> newseum cafe <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 555 pennsylvania nw <br> <b>Inspection Date:   </b> 2013-12-11 <br> <b>Inspection Time:   </b> 10:15 AM <br> <b>Inspector Badge No.:   </b> 603 <br> <br> <b>Inspector Comment:   </b> correct items stated within 45-days as listed withihn observations. all other items corrected while on-site. cfpm: pascuala morales (54512) exp. 1/31/15 if you have any questions, please contact area supervisor mrs. jacqueline coleman at (202)442-5928 (main: 202-535-2180)."
10468,"fire and sage","775 12th","2010-12-02","restaurant total","nw",3,"2010-12-02","11:45 AM",59,"cfpm-aaron m. tootill fs-40841 exp 5/6/11 all items must be abated within five days establishment has an employee health policy if you have any questions you may contact the area supervisor mrs. coleman at 202-535-2186",2010,38.899445,-77.028008,"Risk Cat 3","<b> Establishment Name:   </b> fire and sage <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 775 12th nw <br> <b>Inspection Date:   </b> 2010-12-02 <br> <b>Inspection Time:   </b> 11:45 AM <br> <b>Inspector Badge No.:   </b> 59 <br> <br> <b>Inspector Comment:   </b> cfpm-aaron m. tootill fs-40841 exp 5/6/11 all items must be abated within five days establishment has an employee health policy if you have any questions you may contact the area supervisor mrs. coleman at 202-535-2186"
404724,"penn grill cafe","825 20th","2014-10-06","restaurant total","nw",3,"2014-10-06","10:35 AM",59,"cfpm-paul b. lee fs-59292 exp-2/11/17 all items must be abated within five or forty five days. if you have any questions you may contact mr. taylor area supervisor at 202-535-2180.",2014,38.900617,-77.044825,"Risk Cat 3","<b> Establishment Name:   </b> penn grill cafe <br> <b>Risk Level:   </b> Risk Cat 3 <br> <b>Address:   </b> 825 20th nw <br> <b>Inspection Date:   </b> 2014-10-06 <br> <b>Inspection Time:   </b> 10:35 AM <br> <b>Inspector Badge No.:   </b> 59 <br> <br> <b>Inspector Comment:   </b> cfpm-paul b. lee fs-59292 exp-2/11/17 all items must be abated within five or forty five days. if you have any questions you may contact mr. taylor area supervisor at 202-535-2180."
